Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG249854	sp|Q86VP6|CAND1_HUMAN Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	1230	52.52	49.02	11.54	1	259	65	5	40	32	2	0.0	38	30	642288.8838	572638.8647	606567.781	592638.9219	617457.873	617728.5489	Q86VP6	CAND1	Q86VP6	2427569.5118	612771.5478000001	606560.301675	604547.7805999999	612771.5478000001	609665.9247375	608659.6642	-0.0023831518119374873	0.968306219790163	0.534473267301508
PG242332	sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1	999	43.84	43.84	13.21	1	168	41	0	40	32	0	0.0	39	31	637288.7353	600945.8468	554377.1256	551644.6653	538328.1791	538367.9421	Q9Y4L1	HYOU1	Q9Y4L1	2425327.6384	630325.380025	623512.9101	575385.229875	596383.53725	626919.1450624999	585884.3835625	-0.0976633917535654	0.16652270632368	0.233537495514046
PG248952	sp|P25705|ATPA_HUMAN ATP synthase subunit alpha; mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	553	63.83	62.75	23.15	1	279	40	1	33	26	0	0.0	32	25	735677.6408	629807.5742	597071.8687	590036.4972	553427.15	552999.5856	P25705	ATP5A1	P25705	2417757.5424	614537.581425	601805.4105	593066.58155	610402.213775	608171.4959625	601734.3976624999	-0.015351371489354344	0.805519699915465	0.493117357838646
PG246349	sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	543	86.19	86.19	26.15	1	290	47	0	36	26	0	0.0	36	26	668876.2187	564219.6514	593658.7691	586639.0703	583297.3384	570257.4076	Q99832	CCT7	Q99832	2416571.4692	610402.213775	604547.7805999999	585021.60785	618385.66455	607474.9971874999	601703.6362000001	-0.013771955399242926	0.829433780518555	0.49872718469769
PG250677	sp|P35606|COPB2_HUMAN Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2	906	54.53	54.53	11.7	2	166	45	0	33	29	0	0.0	32	28	644948.075	597356.8316	563408.3074	569578.6437	547278.9001	580937.8103	P35606|P35606-2	COPB2	P35606	2408403.7024	589114.45365	614537.581425	596383.53725	598747.6886999999	601826.0175375	597565.6129749999	-0.010249346801680995	0.875919443760309	0.511077101524101
PG250367	sp|Q14008-3|CKAP5_HUMAN Isoform 3 of Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5	2039	38.06	38.06	6.523	3	199	73	0	36	32	0	0.0	36	32	551221.341	627930.033	614701.2294	619011.9235	615581.9982	601934.4533	Q14008|Q14008-2|Q14008-3	CKAP5	Q14008-3	2393548.2209	598747.6886999999	585021.60785	648690.6395	558849.058425	591884.648275	603769.8489625	0.02868267534089498	0.79978733711731	0.491998082726451
PG244987	sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	2225	52.4	44.13	5.933	2	381	90	14	53	49	8	0.0	43	40	621870.9117	605465.8086	555495.3996	558832.2804	562157.8474	585603.7299	P27708|F8VPD4	CAD	P27708	2383490.28	618385.66455	596383.53725	589114.45365	585021.60785	607384.6009	587068.03075	-0.04908263640081155	0.451099554601981	0.377965426701715
PG242280	sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	724	74.72	55.66	32.04	1	1027	79	30	104	42	21	0.0	59	20	605074.4093	556495.8365	554103.1404	576162.2064	545958.1642	566831.5824	P08238	HSP90AB1	P08238	2377286.4704	593066.58155	598747.6886999999	570200.967425	601805.4105	595907.135125	586003.1889625001	-0.024179006088182572	0.710319632172652	0.466434154446726
PG246488	sp|P54577|SYYC_HUMAN Tyrosine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=YARS PE=1 SV=4	528	78.41	78.41	24.81	1	192	47	0	31	26	0	0.0	31	26	612750.2122	569320.7051	535745.172	568979.2606	531047.6794	543035.2853	P54577	YARS	P54577	2359260.9755	590231.32115	616488.99375	558849.058425	578386.8620750001	603360.15745	568617.96025	-0.0855597636670079	0.236194516530159	0.272063427621137
PG246100	sp|Q13435|SF3B2_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2	895	60.22	60.22	19.11	1	290	57	0	42	32	0	0.0	40	31	595722.3005	549529.6388	559059.9184	555914.6831	572718.8804	570720.2314	Q13435	SF3B2	Q13435	2325492.2317	552228.722125	572179.5075000001	578386.8620750001	616488.99375	562204.1148125001	597437.9279125	0.08769481605578605	0.253283509382525	0.282698478743559
PG247594	sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	971	54.99	54.99	14.11	2	213	52	0	41	34	0	0.0	40	34	596825.4175	563210.5056	551049.6546	542982.9118	562232.7152	595800.2459	P55060|P55060-3	CSE1L	P55060	2325222.8833	596383.53725	589114.45365	567108.365	570200.967425	592748.99545	568654.6662125001	-0.05986851712123092	0.346004023917732	0.33173574104652
PG252444	sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	2511	46.52	46.24	5.615	1	312	94	1	37	35	1	0.0	36	34	598492.374	555894.2279	537896.764	559250.7433	539061.0115	561322.3088	P49327	FASN	P49327	2294625.7828	578386.8620750001	578386.8620750001	556683.188075	589114.45365	578386.8620750001	572898.8208625	-0.01375441374862047	0.829352959988197	0.49872718469769
PG246551	sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4	539	79.59	77.74	23.19	1	249	40	1	35	23	1	0.0	32	22	609653.9939	535673.5889	533187.0591	571765.1003	573740.7026	575129.5155	P50991	CCT4	P50991	2276940.9318000004	570200.967425	590231.32115	547780.0290999999	575385.229875	580216.1442875001	561582.6294875	-0.04709212670216526	0.493284802636235	0.393916126142097
PG244425	sp|Q8WUM4|PDC6I_HUMAN Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1	868	56.57	56.57	7.719	1	154	48	0	26	25	0	0.0	26	25	576745.421	507084.0836	528856.4372	535219.1499	537480.565	559143.0866	Q8WUM4	PDCD6IP	Q8WUM4	2250018.8902000003	575385.229875	558849.058425	535822.128725	590231.32115	567117.1441500001	563026.7249375	-0.010443366447682963	0.879390517074305	0.511978821771855
PG245337	sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2	522	76.82	76.82	22.22	1	213	37	0	26	21	0	0.0	26	21	702769.385	635940.5628	691903.6423	613487.1489	732795.7913	640766.8873	Q9P258	RCC2	Q9P258	2237437.4177	463716.314325	487422.014375	669877.417325	615460.3251	475569.16435	642668.8712125	0.4344204200746307	0.0029019691405844	0.0446988890669889
PG253875	sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	821	53.84	53.84	25.58	1	285	54	0	29	25	0	0.0	29	25	565936.9754	517253.1734	511915.8766	518581.1948	497541.8625	526738.5464	Q14566	MCM6	Q14566	2222904.8077000002	567108.365	575385.229875	526708.55155	547780.0290999999	571246.7974375	537244.290325	-0.08853592686459993	0.205471904554265	0.255607029192353
PG242672	sp|O00410-3|IPO5_HUMAN Isoform 3 of Importin-5 OS=Homo sapiens GN=IPO5	1115	58.65	56.86	10.49	2	226	53	3	36	29	3	0.0	32	26	567624.1511	542609.3877	529658.9014	528078.1052	542033.1718	530276.5175	O00410|O00410-3	IPO5	O00410-3	2219608.942	544199.46565	562757.105875	552228.722125	562757.105875	553478.2857625	557492.914	0.01042674996673004	0.866722960182169	0.509653544708824
PG256358	sp|P49588|SYAC_HUMAN Alanine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	968	48.24	48.24	10.33	1	150	45	0	25	23	0	0.0	25	23	575041.8614	538950.5718	520314.6206	497643.5429	508901.2631	542831.1772	P49588	AARS	P49588	2185588.4282	556683.188075	556683.188075	525226.262275	537168.226075	556683.188075	531197.244175	-0.06760885215729352	0.297946583237547	0.307382309247363
PG250195	tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1	1679	65.22	53.72	12.98	3	418	98	23	61	43	12	0.0	46	31	546894.1875	510049.9531	488845.1027	505274.2129	503340.6198	516762.2422	Q00610|Q00610-2|A0A087WVQ6	CLTC	A0A087WVQ6	2182049.7824	572179.5075000001	552228.722125	514364.089675	544199.46565	562204.1148125001	529281.7776625	-0.08705802783494013	0.242628413600549	0.276147311476404
PG242598	tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=1	1220	47.7	47.13	20.33	2	241	64	2	35	32	1	0.0	34	31	528015.4436	530017.5283	522119.9507	517589.5756	528605.9831	547129.3961	O60841|A0A087WUT6	EIF5B	A0A087WUT6	2178335.9450000003	558849.058425	550059.9992	544199.46565	527854.43235	554454.5288125	536026.949	-0.04876361419176915	0.448295900840669	0.377162817137453
PG247778	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1	1071	44.44	44.44	8.403	1	187	44	0	23	20	0	0.0	23	20	548648.1292	514489.1013	509233.4256	510546.0544	495629.077	523890.2684	O14980	XPO1	O14980	2173687.8314	550059.9992	570200.967425	519792.53775	526708.55155	560130.4833125	523250.54465	-0.09826103631250557	0.166606669153237	0.233537495514046
PG253874	sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5	734	63.22	62.4	20.98	1	263	53	1	46	36	0	0.0	46	36	527872.3189	608856.8062	604098.3514	604892.48	616962.414	566993.3963	P33992	MCM5	P33992	2166235.9019	535822.128725	510608.960075	621560.1461	501395.583525	523215.5444	561477.8648125001	0.10182374524120173	0.473714474985898	0.386973532611284
PG246145	sp|Q9P2J5|SYLC_HUMAN Leucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	1176	53.23	53.23	11.73	1	201	59	0	36	31	0	0.0	36	31	542285.5276	523316.8083	515035.0625	530546.4851	528966.3492	541726.3763	Q9P2J5	LARS	Q9P2J5	2154190.9565000003	562757.105875	544199.46565	527854.43235	522862.17277500004	553478.2857625	525358.3025625	-0.07522501884358469	0.26499916610409	0.289581533918469
PG254215	sp|Q8N1F7|NUP93_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2	819	52.14	52.14	6.349	1	146	41	0	24	24	0	0.0	24	24	584144.456	531447.1621	527023.008	516014.9061	526665.7184	526533.3089	Q8N1F7	NUP93	Q8N1F7	2141905.9037	537168.226075	537168.226075	531611.9699499999	535822.128725	537168.226075	533717.0493375	-0.00929887246773899	0.876557837244583	0.511274661859249
PG253671	sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4	904	59.29	59.29	20.46	1	536	58	0	29	23	0	0.0	29	23	617072.4538	523447.7131	544750.5028	513786.4268	541201.3523	513373.3179	P49736	MCM2	P49736	2092304.5132	498129.83195	503784.020225	550059.9992	552228.722125	500956.9260875	551144.3606624999	0.13774369076642015	0.0654811103012042	0.15844516538875
PG252052	sp|P49411|EFTU_HUMAN Elongation factor Tu; mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2	452	65.71	65.71	12.83	1	153	28	0	30	22	0	0.0	30	22	523096.4511	525624.1329	452347.2556	460886.502	412980.9205	431914.7251	P49411	TUFM	P49411	2068318.1051	525226.262275	547780.0290999999	488444.6574	502439.5317	536503.1456875	495442.09455000004	-0.11487017960971627	0.128092748214407	0.21019729896203
PG253634	sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5	863	68.48	68.48	19.7	1	257	61	0	33	27	0	0.0	32	26	565676.73	508411.7305	485308.2559	478201.4905	470003.4762	483787.0862	P33991	MCM4	P33991	2057114.5999000003	510608.960075	522862.17277500004	506517.01645	514364.089675	516735.566425	510440.55306249997	-0.017683234819865536	0.775251875421771	0.485084636737088
PG255358	sp|P22626|ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	353	75.64	75.64	49.29	1	601	39	5	49	26	5	0.0	37	21	570071.6582	488557.159	521907.9493	515537.8922	561040.0676	530738.5986	P22626	HNRNPA2B1	P22626	2054833.3768000002	501395.583525	498129.83195	502439.5317	550059.9992	499762.7077375	526249.76545	0.07450443354288427	0.358676361883529	0.337469837509912
PG250918	sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5	783	62.58	58.24	27.2	1	691	59	3	40	34	2	0.0	38	32	453843.9845	650106.2724	619150.7063	608906.9868	633788.8135	548405.1063	Q9NR30	DDX21	Q9NR30	2051769.2165	488444.6574	481178.869525	639216.955025	443177.244825	484811.7634625	541197.099925	0.15872940370838912	0.503703734186231	0.398437886349833
PG251160	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1	913	43.15	43.15	11.28	2	312	44	1	33	28	1	0.0	31	27	588256.2979	518192.0112	579072.791	502437.52	592586.1598	526166.5493	Q99613|Q99613-2	EIF3C	Q99613	2044332.4379	455637.584125	463716.314325	562757.105875	572179.5075000001	459676.949225	567468.3066875001	0.30391949644321903	0.0045053935425924	0.0592006836027566
PG254743	sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase; platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2	784	55.74	51.15	16.84	1	171	44	3	32	23	2	0.0	30	21	525558.7349	511737.0816	493538.8141	515731.7475	478240.7988	493692.4521	Q01813	PFKP	Q01813	2043302.8838	503784.020225	512268.667225	512268.667225	525226.262275	508026.343725	518747.46475	0.030129070606454592	0.630588196633336	0.44290255589629
PG244525	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2	645	60.62	59.69	30.23	1	186	46	2	34	29	1	0.0	33	28	533591.8726	493778.9965	462347.1653	479174.4197	423563.7555	431451.4602	P13667	PDIA4	P13667	2040836.8882	547780.0290999999	531611.9699499999	471929.7855	480480.419	539695.9995249999	476205.10225	-0.1805639151340223	0.03237419310263	0.123634243789616
PG255492	sp|P04843|RPN1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1	607	65.4	65.4	10.38	1	155	35	0	31	24	0	0.0	31	24	548831.0208	619563.2164	588282.3303	537818.401	542016.9102	483886.3949	P04843	RPN1	P04843	2037734.8657	493964.77275	466796.593775	590231.32115	493200.3026	480380.6832625	541715.811875	0.17335806198621195	0.183164546875122	0.243797131059476
PG252010	sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	434	82.95	70.51	49.08	1	763	47	6	50	17	4	0.0	41	13	498553.855	488766.4742	489018.4088	497121.1843	502018.6053	541787.7953	P06733	ENO1	P06733	2031016.2188999997	487422.014375	478099.18865	517764.790075	556683.188075	482760.6015125	537223.9890749999	0.15421578659745358	0.0770646858353636	0.170322618968299
PG252196	sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha; mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2	763	57.67	57.67	4.325	1	126	35	0	27	20	0	0.0	27	20	515736.754	514433.3089	458433.1983	495937.4711	444737.7864	450482.3875	P40939	HADHA	P40939	2028094.0135	531611.9699499999	519792.53775	493200.3026	474048.77962499997	525702.25385	483624.5411125	-0.1203584654410628	0.109962374874613	0.195993300096131
PG251834	sp|Q92608|DOCK2_HUMAN Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=1 SV=2	1830	39.18	38.69	7.541	1	261	68	1	42	36	0	0.0	42	36	492655.5691	512154.8327	485776.3927	492886.1247	503653.365	496968.8582	Q92608	DOCK2	Q92608	2023763.6002999998	514364.089675	506517.01645	503784.020225	485691.37085	510440.55306249997	494737.69553749997	-0.045079124795201965	0.485749251675789	0.390915010700202
PG246064	sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4	1217	49.63	49.14	12.0	1	205	58	1	32	29	0	0.0	32	29	500720.4093	449985.7513	452134.9532	492942.5421	476999.4139	500687.8172	Q15393	SF3B3	Q15393	2019235.1894	517764.790075	526708.55155	481178.869525	490663.51195	522236.6708125	485921.1907375	-0.10398141655758887	0.138958189689113	0.216735412497798
PG248813	sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4	637	44.74	44.74	14.76	1	111	29	0	25	18	0	0.0	24	17	537035.2454	491231.8171	484048.2629	469101.2418	469345.1747	463706.972	O14744	PRMT5	O14744	2014960.2570000002	522862.17277500004	502439.5317	487422.014375	498129.83195	512650.8522375	492775.9231625	-0.05704482515798504	0.395845537391565	0.353362453841767
PG244747	sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1	1010	54.26	54.26	7.129	1	183	47	0	26	23	0	0.0	25	22	531120.0985	477190.8664	466639.6772	459593.4922	449829.6787	464689.4352	P22102	GART	P22102	2014950.8267	527854.43235	535822.128725	478099.18865	475739.83115	531838.2805375	476919.5099	-0.1572418209755999	0.0449655240103911	0.137213597894207
PG246347	sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	545	75.05	73.94	26.97	1	225	51	1	36	27	0	0.0	35	27	502620.1653	478865.0334	447907.3294	464818.0622	450082.0556	477287.3659	P49368	CCT3	P49368	1995035.0710999998	506517.01645	517764.790075	466796.593775	506517.01645	512140.9032625	486656.8051125	-0.0736360587376387	0.337556369791808	0.328083188139427
PG247960	sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	599	59.27	59.27	21.04	1	112	37	0	23	18	0	0.0	23	18	508671.1424	495442.4985	469244.2043	477755.866	479129.7592	477962.077	P61221	ABCE1	P61221	1991544.3539999998	512268.667225	501395.583525	484696.699275	484696.699275	506832.125375	484696.699275	-0.06442571413012149	0.319010265560564	0.318131518433283
PG248955	sp|P06576|ATPB_HUMAN ATP synthase subunit beta; mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3	529	77.5	77.5	16.26	1	343	31	0	46	22	0	0.0	46	22	530022.9389	484101.5745	436993.5201	460037.3636	428797.2706	443367.8423	P06576	ATP5B	P06576	1987282.0589	526708.55155	514364.089675	452676.441075	482174.378375	520536.32061249996	467425.409725	-0.1552626689763319	0.0681227193189455	0.161162641628265
PG242321	sp|P48735|IDHP_HUMAN Isocitrate dehydrogenase [NADP]; mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2	452	70.58	67.7	17.48	1	155	34	3	29	22	2	0.0	27	20	555741.9389	518732.5878	459367.8739	462724.0642	427612.1012	434849.7956	P48735	IDH2	P48735	1984787.7927	519792.53775	527854.43235	465250.041425	462019.044	523823.48505	463634.54271249997	-0.17609268562135968	0.0315918904456743	0.121990950493
PG251751	sp|P55265-4|DSRAD_HUMAN Isoform 4 of Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR	1269	42.0	42.0	8.117	2	234	52	0	36	27	0	0.0	36	27	528803.7386	543910.2424	522780.3332	506464.2896	524142.3111	511616.7628	P55265|P55265-4	ADAR	P55265-4	1969903.3029	474048.77962499997	475739.83115	522862.17277500004	503784.020225	474894.3053875	513323.0965	0.11226071827042465	0.124161159083732	0.207109361131982
PG250913	sp|O75534-4|CSDE1_HUMAN Isoform 4 of Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1	844	54.5	53.79	17.89	2	180	52	1	37	31	1	0.0	34	29	488435.2653	466938.1235	429527.7065	457297.5285	450608.5782	460267.1817	O75534|O75534-4	CSDE1	O75534-4	1968988.0703999999	502439.5317	525226.262275	454515.0827	481178.869525	513832.8969875	467846.9761125	-0.13526252974645325	0.103141452185285	0.191151668392699
PG255975	sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1	793	50.82	50.82	9.332	1	188	38	0	30	24	0	0.0	30	24	510879.7644	456084.6939	475337.6661	472955.6901	503684.3625	515169.2361	Q15459	SF3A1	Q15459	1957704.4112	469021.969425	493964.77275	490663.51195	510608.960075	481493.3710875	500636.2360125	0.05624678091849212	0.427123139859024	0.367539490570302
PG254244	sp|Q14978-2|NOLC1_HUMAN Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1	709	56.42	56.42	30.18	2	372	58	0	24	19	0	0.0	24	19	524236.8875	476493.8083	538930.5338	475009.4828	565614.4545	508426.9928	Q14978-2|A0A0A0MRM9	NOLC1	Q14978-2	1937167.1522	428902.111725	445433.2884	537168.226075	531611.9699499999	437167.7000625	534390.0980125	0.2897064635473979	0.0061455326149197	0.0683476478623033
PG251558	tr|H3BLZ8|H3BLZ8_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1	731	59.92	49.52	17.92	2	280	48	10	46	34	8	0.0	33	26	494417.0303	477966.9334	465554.2188	460695.1193	470109.6726	487519.4399	Q92841|H3BLZ8	DDX17	H3BLZ8	1929513.4924	500211.13345	485691.37085	475739.83115	467725.480625	492951.25215	471732.65588750003	-0.06347551035180823	0.33588872134734	0.327276568131804
PG242409	tr|D3DQV9|D3DQV9_HUMAN Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=1 SV=1	907	49.72	49.72	9.923	4	166	46	0	27	23	0	0.0	27	23	511425.5971	473410.4664	484910.2171	452814.4795	457787.7071	467689.5102	P78344|P78344-2|D3DQV9|H0Y3P2	EIF4G2	D3DQV9	1926531.7634	490663.51195	493200.3026	459154.484375	478099.18865	491931.907275	468626.8365125	-0.07001905863718151	0.298442027869217	0.307382309247363
PG245108	sp|P49756|RBM25_HUMAN RNA-binding protein 25 OS=Homo sapiens GN=RBM25 PE=1 SV=3	843	39.26	39.26	14.95	1	168	41	0	22	19	0	0.0	22	19	503974.5929	485345.8052	462164.239	459209.8171	450069.0162	463006.2559	P49756	RBM25	P49756	1919614.1149000002	456797.914825	470136.374275	485691.37085	512268.667225	463467.14454999997	498980.0190375	0.10651497699595747	0.162620358206984	0.232359609988238
PG255886	sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	432	53.94	51.85	18.29	1	163	25	2	33	18	2	0.0	29	16	493836.3529	463819.1341	437425.7559	453544.692	433237.0672	464361.2124	P23526	AHCY	P23526	1919497.0055	482174.378375	490663.51195	451817.481975	493964.77275	486418.9451625	472891.1273625	-0.040691346880633396	0.584544092101189	0.425707050923418
PG246272	sp|P54136|SYRC_HUMAN Arginine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2	660	63.94	63.94	19.55	1	139	44	0	29	25	0	0.0	29	25	483850.502	481724.5286	452630.714	457437.5799	445288.9696	462810.8784	P54136	RARS	P54136	1917703.0174	493200.3026	500211.13345	460617.11195	458201.45175	496705.718025	459409.28185	-0.11261134997950026	0.111649779598347	0.197292861229933
PG247783	sp|Q709C8|VP13C_HUMAN Vacuolar protein sorting-associated protein 13C OS=Homo sapiens GN=VPS13C PE=1 SV=1	3753	19.82	19.82	0.6395	2	124	60	0	37	36	0	0.0	37	36	469261.1677	451960.4754	430758.8995	451986.2261	449893.7886	479414.4069	Q709C8|Q709C8-3	VPS13C	Q709C8	1911010.0579000001	480480.419	480480.419	480480.419	469021.969425	480480.419	474751.1942125	-0.01730600869621536	0.776267163012718	0.485473309690195
